synthetic_shipment_id,order_id,warehouse_id,carrier,ship_date,delivery_date,shipping_cost
,e481f51cbdc54678b7cc49136f2d6af7,1,Dragonfly Express,2017-10-03 20:01:40,2017-10-03 20:37:50,10.82
,53cdb2fc8bc7dce0b6741e2150273451,3,Correios,2018-07-27 00:22:26,2018-07-29 20:54:27,23.79
,47770eb9100c2d0c44946d9cf07ec65d,4,RapidAir,2018-08-09 00:52:55,2018-08-13 01:07:55,22.72
,949d5b44dbf5de918fe9c16f97b45f8a,5,RapidAir,2017-11-19 02:01:58,2017-11-22 15:19:07,10.53
,ad21c59c0840e6cb83a9ceb5573f8159,3,Correios,2018-02-16 00:48:54,2018-02-21 15:16:26,29.55
,a4591c265e18cb1dcee52889e2d8acc3,1,Loggi,2017-07-11 18:05:52,2017-07-14 09:20:32,38.30
,136cce7faa42fdb2cefd53fdc79a6098,1,Stark Logistics,2017-04-14 10:15:01,2017-04-21 00:15:30,48.34
,6514b8ad8028c9f2cc2374ded245783f,2,Correios,2017-05-16 21:11:22,2017-05-17 18:36:18,9.07
,76c6e866289321a7c93b82b54852dc33,1,Correios,2017-01-26 09:42:23,2017-01-29 14:05:23,43.81
,e69bfb5eb88e0ed6a785585b27e16dbf,5,Correios,2017-07-30 10:56:16,2017-08-02 05:19:43,43.55
,e6ce16cb79ec1d90b1da9085a6118aeb,1,RapidAir,2017-05-17 13:09:48,2017-05-20 23:48:00,9.33
,34513ce0c4fab462a55830c0989c7edb,3,Loggi,2017-07-16 18:16:05,2017-07-18 14:20:21,29.49
,82566a660a982b15fb86e904c8d32918,2,Correios,2018-06-09 20:53:25,2018-06-15 13:51:27,15.13
,5ff96c15d0b717ac6ad1f3d77225a350,2,RapidAir,2018-07-27 19:03:06,2018-08-01 15:48:56,14.42
,432aaf21d85167c2c86ec9448c4e42cc,3,RapidAir,2018-03-04 09:21:52,2018-03-05 01:32:38,16.18
,dcb36b511fcac050b97cd5c05de84dc3,4,Correios,2018-06-10 04:47:07,2018-06-13 08:15:46,9.71
,403b97836b0c04a622354cf531062e5f,1,Dragonfly Express,2018-01-03 05:38:02,2018-01-03 12:27:23,37.05
,116f0b09343b49556bbad5f35bee0cdf,3,RapidAir,2017-12-27 15:04:18,2017-12-27 22:52:22,42.86
,85ce859fd6dc634de8d2f1e290444043,2,Loggi,2017-11-23 17:09:46,2017-11-23 21:24:29,42.66
,83018ec114eee8641c97e08f7b4e926f,2,Dragonfly Express,2017-10-28 11:20:35,2017-11-01 09:26:44,24.58
,203096f03d82e0dffbc41ebc2e2bcfb7,1,Dragonfly Express,2017-09-18 16:25:06,2017-09-24 08:24:01,32.20
,f848643eec1d69395095eb3840d2051e,2,Loggi,2018-03-16 15:30:21,2018-03-17 13:26:38,5.97
,2807d0e504d6d4894d41672727bc139f,5,RapidAir,2018-02-05 16:50:52,2018-02-09 17:52:08,5.69
,95266dbfb7e20354baba07964dac78d5,2,Correios,2018-01-08 11:36:20,2018-01-11 16:20:30,30.42
,f3e7c359154d965827355f39d6b1fdac,3,Stark Logistics,2018-08-09 20:17:28,2018-08-10 10:15:39,46.62
,fbf9ac61453ac646ce8ad9783d7d0af6,5,Stark Logistics,2018-02-22 16:30:30,2018-03-01 01:08:10,7.08
,acce194856392f074dbf9dada14d8d82,1,Loggi,2018-06-04 11:45:24,2018-06-06 10:47:18,6.70
,dd78f560c270f1909639c11b925620ea,1,Loggi,2018-03-14 18:19:26,2018-03-16 03:17:34,48.92
,91b2a010e1e45e6ba3d133fa997597be,5,Correios,2018-05-03 11:34:49,2018-05-09 13:07:59,27.09
,ecab90c9933c58908d3d6add7c6f5ae3,4,Stark Logistics,2018-02-26 04:44:40,2018-03-02 23:50:05,44.32
,f70a0aff17df5a6cdd9a7196128bd354,4,Dragonfly Express,2017-08-10 22:22:31,2017-08-16 15:23:09,30.60
,1790eea0b567cf50911c057cf20f90f9,4,RapidAir,2018-04-18 12:20:30,2018-04-22 15:23:20,46.83
,989225ba6d0ebd5873335f7e01de2ae7,3,Dragonfly Express,2017-12-14 14:51:15,2017-12-19 05:46:06,14.73
,d887b52c6516beb39e8cd44a5f8b60f7,3,RapidAir,2018-02-06 08:52:31,2018-02-09 01:49:57,37.59
,b276e4f8c0fb86bd82fce576f21713e0,3,Stark Logistics,2018-07-31 10:42:08,2018-08-02 13:47:37,27.08
,8563039e855156e48fccee4d611a3196,3,Correios,2018-02-20 06:22:48,2018-02-20 20:50:57,26.88
,60550084e6b4c0cb89a87df1f3e5ebd9,3,Stark Logistics,2018-02-23 19:44:54,2018-02-28 03:24:50,26.39
,5acce57f8d9dfd55fa48e212a641a69d,1,RapidAir,2017-08-01 01:02:49,2017-08-04 23:43:41,27.61
,434d158e96bdd6972ad6e6d73ddcfd22,4,Loggi,2018-06-02 23:30:29,2018-06-04 15:50:03,20.40
,7206b86ea789983f7a273ea7fa0bc2a8,4,Stark Logistics,2018-03-29 12:10:29,2018-04-04 04:27:04,16.43
,1e7aff52cdbb2451ace09d0f848c3699,3,Stark Logistics,2017-05-20 10:52:24,2017-05-27 07:56:12,33.81
,6ea2f835b4556291ffdc53fa0b3b95e8,1,Stark Logistics,2017-11-26 09:47:37,2017-11-26 16:07:32,5.13
,948097deef559c742e7ce321e5e58919,1,Stark Logistics,2017-08-05 00:57:58,2017-08-06 08:46:38,10.03
,d22e9fa5731b9e30e8b27afcdc2f8563,3,Stark Logistics,2018-08-07 08:17:54,2018-08-12 09:23:16,37.96
,ee64d42b8cf066f35eac1cf57de1aa85,4,Dragonfly Express,2018-06-06 22:59:42,2018-06-07 20:46:26,21.21
,6ebaec694d7025e2ad4a05dba887c032,5,RapidAir,2017-05-21 12:40:39,2017-05-24 03:22:10,35.18
,d17dc4a904426827ca80f2ccb3a6be56,1,Correios,2017-05-17 00:48:34,2017-05-19 11:08:20,37.94
,25f4376934e13d3508486352e11a5db0,5,Dragonfly Express,2018-05-18 10:32:33,2018-05-19 19:23:48,27.47
,5820a1100976432c7968a52da59e9364,2,Correios,2018-07-29 15:42:14,2018-08-02 23:06:15,18.00
,2ce1ad82022c1ba30c2079502ac725aa,3,Stark Logistics,2017-08-12 01:47:03,2017-08-18 18:38:13,18.56
,138849fd84dff2fb4ca70a0a34c4aa1c,3,RapidAir,2018-02-03 23:20:05,2018-02-08 15:22:14,11.68
,47aa4816b27ba60ec948cd019cc1afc1,4,Correios,2018-06-26 19:59:40,2018-07-02 21:50:26,27.20
,9faeb9b2746b9d7526aef5acb08e2aa0,4,RapidAir,2018-07-28 00:37:21,2018-07-28 10:01:39,34.76
,641fb0752bf5b5940c376b3a8bb9dc52,3,Dragonfly Express,2017-12-15 12:50:50,2017-12-17 02:14:32,22.61
,e425680f760cbc130be3e53a9773c584,5,Correios,2017-09-02 03:46:16,2017-09-04 08:46:42,9.02
,40c5e18f7d112b59b3e5113a59a905b3,2,RapidAir,2018-06-13 22:42:17,2018-06-15 15:13:28,37.06
,734e7d1bbaeb2ff82521ca0fe6fb6f79,5,Dragonfly Express,2018-06-13 14:46:38,2018-06-16 07:25:10,30.83
,66e4624ae69e7dc89bd50222b59f581f,1,Correios,2018-03-10 09:34:34,2018-03-11 09:07:51,14.37
,a685d016c8a26f71a0bb67821070e398,2,Correios,2017-03-16 00:13:13,2017-03-16 23:17:16,46.03
,2edfd6d1f0b4cd0db4bf37b1b224d855,5,Dragonfly Express,2017-06-15 03:19:47,2017-06-15 16:18:03,9.52
,68873cf91053cd11e6b49a766db5af1a,1,Loggi,2017-12-03 18:14:28,2017-12-04 10:06:32,34.20
,f346ad4ee8f630e5e4ddaf862a34e6dd,3,Dragonfly Express,2018-08-08 03:46:34,2018-08-09 15:10:37,35.72
,8f06cc6465925031568537b815f1198d,1,Dragonfly Express,2017-11-18 06:17:27,2017-11-18 16:25:04,39.74
,ccbabeb0b02433bd0fcbac46e70339f2,4,Stark Logistics,2018-02-20 16:03:09,2018-02-24 08:05:28,12.52
,688052146432ef8253587b930b01a06d,2,Loggi,2018-04-23 04:39:44,2018-04-24 14:33:24,42.11
,f271576bed568e896f99eb710cd3a6f8,5,RapidAir,2018-01-09 08:29:09,2018-01-12 19:21:17,26.19
,686541986ecfb7d9296eb67719973bf0,5,Dragonfly Express,2018-02-11 14:23:38,2018-02-18 05:07:10,45.33
,68e48e68da1f50f7c5838ea75e3a20dd,3,Correios,2018-06-19 02:47:36,2018-06-22 23:34:38,28.20
,b52cc4919de82b4d696a4380d10804a3,3,Correios,2018-06-14 22:21:14,2018-06-18 20:14:55,40.83
,fdf128b3630c21adc9ca4fb8a51b68ec,2,Correios,2018-07-17 18:57:41,2018-07-22 23:32:39,22.20
,a6aeb116d2cb5013eb8a94585b71ffef,2,Dragonfly Express,2017-09-14 10:52:24,2017-09-15 08:23:27,34.94
,fa516182d28f96f5f5c651026b0749ee,2,Stark Logistics,2018-04-15 00:08:53,2018-04-18 16:35:39,42.93
,6abaad69b8b349c3a529b4b91ce18e46,4,Correios,2018-02-16 16:41:02,2018-02-22 09:35:17,40.36
,974c1993ab8024d3ed16229183c2308d,2,RapidAir,2017-02-22 08:20:53,2017-02-28 22:24:01,7.73
,82bce245b1c9148f8d19a55b9ff70644,4,Correios,2017-04-20 18:19:41,2017-04-27 13:10:24,24.29
,a910f58086d58b3ae6f37aa712d377b9,4,Stark Logistics,2017-09-16 22:18:12,2017-09-17 19:57:29,21.61
,bd4bd0194d6d29f83b8557d4b89b572a,3,Dragonfly Express,2018-07-30 10:26:07,2018-08-03 14:12:43,9.63
,634e8f4c0f6744a626f77f39770ac6aa,2,Stark Logistics,2017-08-11 12:43:15,2017-08-15 02:01:38,48.83
,6d25592267349b322799e2beb687871e,1,Loggi,2018-08-28 13:59:51,2018-09-02 09:14:40,21.30
,b8801cccd8068de30112e4f49903d74a,5,Correios,2017-07-30 21:49:12,2017-08-06 04:11:56,29.39
,2711a938db643b3f0b62ee2c8a2784aa,1,Loggi,2017-12-24 18:37:24,2017-12-28 05:53:50,28.48
,3bc77ce8be27211bac313c2daa402d1a,2,RapidAir,2017-04-08 17:46:25,2017-04-13 22:27:10,18.34
,10c320f977c6a18f91b2d14be13128c6,4,Correios,2017-05-10 10:20:11,2017-05-11 13:00:29,24.65
,0a4a2fccb27bd83a892fa503987a595b,5,Correios,2017-04-22 19:08:25,2017-04-27 19:29:44,12.67
,e4de6d53ecff736bc68804b0b6e9f635,5,RapidAir,2017-10-17 02:36:42,2017-10-21 05:52:20,17.71
,6b860b35691d486e45dc98e3514ec5f6,5,Dragonfly Express,2017-12-09 20:54:18,2017-12-12 15:49:16,25.90
,ec341c54a5ebf8ee0a67a8632aa7579b,2,Correios,2017-08-29 12:08:18,2017-09-03 09:52:03,37.51
,cadbb3657dac2dbbd5b84b12e7b78aad,5,Loggi,2018-03-01 03:47:10,2018-03-05 21:12:29,21.21
,9defaf92cff22420e4e8ef7784815a55,3,Loggi,2018-05-11 20:04:50,2018-05-12 16:03:41,34.46
,20e0101b20700188cadb288126949685,3,Correios,2018-01-23 15:36:12,2018-01-24 16:09:11,34.62
,0e782c3705510e717d28907746cbda82,4,Dragonfly Express,2018-05-04 08:11:53,2018-05-05 14:06:35,14.52
,d3d6788577c9592da441752e8a1dd5e3,5,Dragonfly Express,2017-09-19 22:17:48,2017-09-23 03:39:21,46.67
,86f21bf63784876b9fd6d35f46581d72,4,Loggi,2018-04-13 09:19:45,2018-04-15 05:07:34,12.87
,8447ff843b2616c50c0ced28ab1dae03,4,Loggi,2017-12-21 19:43:14,2017-12-23 20:37:32,28.88
,f169bd689fb8b32ccd62df9050aebc0b,4,RapidAir,2018-04-25 05:46:55,2018-04-30 12:59:58,19.80
,77e9941864fc840be8e4b1ba5347c0f7,2,Correios,2018-08-06 05:05:53,2018-08-10 20:54:36,5.42
,41bb5cee06dbf170878a9ef93ac7e7f5,2,Loggi,2018-05-16 17:56:48,2018-05-18 05:58:36,11.20
,6a0a8bfbbe700284feb0845d95e0867f,2,Loggi,2017-11-24 05:03:37,2017-11-25 15:54:09,28.45
,f7959f8385f34c4f645327465a1c9fc4,4,RapidAir,2017-03-31 08:24:25,2017-04-01 16:04:39,25.67
,23f553848a03aaab35bb3f9f87725125,5,Dragonfly Express,2018-06-05 11:51:03,2018-06-08 18:26:50,8.81
,e3447938231fb6ba2fee0231b51eca59,5,Dragonfly Express,2018-08-28 16:17:11,2018-09-02 18:11:26,11.18
,e346cd9299371b18c0b28e8e29a5e376,3,Loggi,2017-05-18 04:00:07,2017-05-22 21:57:49,7.16
,a5474c0071dd5d1074e12d417078bbd0,4,Correios,2018-08-02 08:48:29,2018-08-08 20:20:26,38.57
,0760a852e4e9d89eb77bf631eaaf1c84,4,RapidAir,2018-08-04 13:18:33,2018-08-11 08:42:44,34.73
,bb7c5cf4dff9994daeab7c8ee9d287aa,2,Stark Logistics,2018-03-03 21:24:18,2018-03-05 04:12:05,49.18
,66d03fb3c4b0f80b5db04ef9c260336d,3,Loggi,2018-02-08 08:43:40,2018-02-11 18:51:29,21.37
